nr,pre,match-2,match-1,match,match+1,match+2,post,master_category,notes,Givenness,Factuality,Type,Focus,id,title,n_words,n_tokens,n_w,n_c,n_s,publication_date,text_type,context,respondent_age,respondent_class,respondent_sex,interaction_type,region,author_age,author_domicile,author_sex,author_type,audience_age,domain,difficulty,medium,publication_place,sampling_type,circulation,audience_sex,availability,mode,derived_type,genre,cat_annotator1,cat_annotator2,decision
38," rvices erm where there is a social need up to a certain point and that is governed by the finance available, but its not as though, this is just the commercial network, in fact, er I think its erm something in the order of ninety two per cent of services in Strathclyde are commercially ",operated ,and ,it ,is ,Strathclyde ,"region that fills the gaps. I'm glad all your transport users are, are now coming out of the woodwork, but you are the minority in this hundred, now of the majority the car drivers do you feel any resent of responsibility towards users of public transport, I mean there are all manner of er plans ",c,EMPTY,act.giv,fact,canonical,NP,FLA,Scottish Women: discussion about transport. Sample containing about 4917 words speech recorded in leisure context,4998,5571,5068,503,237,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,,
43,"   stopped it. Down there. Erm, I was erm, put on  just for  in ninety seventy three and your question that you're asked was  and from nineteen seventy three till three years ago  erm  I know  took my causes, I trust, put my trust in the doctors and erm  over all those years I didn't ",realize ,that  ,it ,was ,actually ,"the tablets that was causing me the mental illness. And saying that, in the last three years I since discovered, and it was quite difficult to, which I did find, that there was alternative erm  therapists, which was lots of groups that were going on and once I got into it  erm the , it opened up ",c,EMPTY,act.giv,un,canonical,NP,FLF,Mental health: television discussion. Sample containing about 4841 words speech recorded in leisure context,4977,5606,5036,569,323,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,,
45," . The words the , I mean it has always been stigmatized by men, lesbians,and, you know everything  Mhm. else, and I think that people have to got sort of clarify what feminism is, and what  sort of what aspects of it they want to take on. There. Erm, I'd like to say Sheena that I, ",I ,think ,it ,was ,a ,"difficult question that you asked, are you a feminist? Cos it's  it's puts it do , I know you were saying about it's difficult to answer yes or no to a question but i in this case it's really true because  I answered no but I've I've got erm  I mean ",c,(This is a predicational cleft.),act.giv,nonfact,other,NP,FLK,Young women in Scotland: television discussion. Sample containing about 5302 words speech recorded in leisure context,5537,6362,5581,778,399,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,,
50,"  best groups I'd ever worked with because  Mhm. they were interested. And it was contraception, which as you all know, is predominantly female  and they were  interested like, what their partners would use, what they will use  and, it was wonderful! I couldn't believe  because I always ",thought ,that ,it ,was ,the ,"guys that sniggered, the guys that weren't interested  Mm mm. and through past experience it is changing. Was it a mixed group or er No. No, we had five sa , boys  no mixed. Do you think ma , do you think maybe that's, that's one of the answers, to separate the sexes for, for ",c,EMPTY,inact.giv,nonfact,canonical,NP,FLR,Scottish women: discussion about sex education. Sample containing about 5252 words speech recorded in leisure context,5404,6212,5448,763,361,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,,
64," , having a lifetime of painful periods and not having  any more painful periods  was absolute bliss! And that's one of the drawbacks of H R T, it all came  back again ! Down here. Yeah? I was just going to mention the fact that if you have had breast cancer you cannot go on H R ",T ,cos ,it ,was ,a ,"hormone  that caused it in the first place! Is that right. Yes. I think, one fact that probably, I'm sure yo , many of us know here  is that the actual number of women on the H R T is really very small in this country! It's probably less, about, between five and ten percent! ",c,EMPTY,new,fact,IP,NP,FL4,Menopause: television discussion. Sample containing about 4716 words speech recorded in leisure context,4871,5487,4906,568,341,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,,
66,"  terribly young That's right. for a girl to start, to start worrying about that kind of thing! Is is that a societal pressure? I mean is it a  ah,th wi , is there any history of it in the family an and, what did your family, did you family know? Families don't generally know. ",And ,"it, ",it ,wasn',t ,"until many years later that I told anyone at all  that's, that's the thing I was saying about bulimia, it's very secret. And in the end, did you, I mean wha , did you get the support of of professionals or or Yes. Erm, but in the end th o only one had any ",c,EMPTY,act.giv,fact,canonical,adv,FL6,Eating disorders: television discussion. Sample containing about 4863 words speech recorded in leisure context,4983,5647,5024,620,281,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:discussn,c,,
160," t worked. And I quite enjoyed that too. Er did you remember any sort of accidents of where anything was dropped, or anything like that, with molten metal? Did I get burnt? Do you remember any accidents at the ? No. Very fortunate. That was the amazing thing about it, it all went always ",worked ,well. ,It ,was ,the ,"chappies that got the trouble for for making a bad mould. No, we had no accidents, the only one I had was er when I'd been right to the top, with the other crane an and it was a long shop, and everyone had done with me during the morning, so I hoisted the crane ",c,EMPTY,inact.giv,un,canonical,NP,FXV,Nottingham Oral History Project: interview. Sample containing about 5773 words speech recorded in leisure context,5842,6764,5873,838,355,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
162,"  died at home. After the Second World War. But they both were in the services. In the First World War? Yes, and er my younger brother was in the Second World War. Can you remember much about the house, how, how long did you live there for? Oh I should say we'd lived there ten ",years. ,And ,it ,was ,there ,"that my father started his er lace factory. He er he used to work from four in the morning till ten o'clock at night and he used to doss in the factory, didn't come home, Where was the factory? The factory was in er  Str , Street, Factory in  Street, up off  Road. And he'",c,"(only the focus is given, not the information in the relative clause.)",new,fact,IP,adv,FXW,Nottingham Oral History Project: interview. Sample containing about 3054 words speech recorded in leisure context,3085,3499,3101,349,250,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
163,"  a certain heat to work the lace machines properly. And he came back to er  and started again and er he'd just er er the big manufacturer engineering er people made us lace machines then and they started him off with three, and he'd paid off one and part of the other when he ",died. ,And ,it ,was ,the ,"First World War that killed him, he had a brain damage, you know a stroke. And died. Was he actually fighting in the First World War or? My father, no, no he was too old then, no my brothers both were but er. No me elder brother was, not me second brother, that was the Second ",c,"(only the focus is given, not the information in the relative clause.)",new,nonfact,IP,NP,FXW,Nottingham Oral History Project: interview. Sample containing about 3054 words speech recorded in leisure context,3085,3499,3101,349,250,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
165,"  were doing such a lot of entertaining, there was a lot of work. What were they like the two the maids, were they young girls? we never thought anything about it you know. They were not er they were old enough to to work, they were much older than me. In fact when I er er ",periods ,started ,it ,was ,them ,"that told me all about it not me mother and didn't never think then about st er sex or anything, not a thing, I was as innocent as day was born when I was eighteen. the difference of children of today. Were you quite, you were friendly with the maids then, was it like   Oh ",c,EMPTY,act.giv,fact,canonical,NP,FXW,Nottingham Oral History Project: interview. Sample containing about 3054 words speech recorded in leisure context,3085,3499,3101,349,250,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
