nr,pre,match-2,match-1,match,match+1,match+2,post,category,Givenness,Factuality,Type,Focus,id,display_as,party_x,constituency_x,mnis_id,date,time,colnum,speech_class,major_heading,minor_heading,oral_heading,year,hansard_membership_id,speakerid,person_id,speakername,url,name,party_y,constituency_y,year_of_birth,gender,MP,Filename,All_tokens,Word_tokens
9,"  is in favour, but I have not had my attention drawn to any who have indicated dissent, whereas I have confirmation from the chamber of trade and others that they are very much in favour. ",After ,"all, ",it ,was ,the ,"chamber of trade that set out to raise the petition, and it has now collected 6,500 signatures. That was its own idea. I believe, therefore, that the whole tempo is changing in that regard. I hope ",c,new,fact,IP,NP,19900320a1074_1,Bill O'Brien,Labour,Normanton,419,20-03-90,19:37:00,1074,Speech,Redbridge London Borough Council Bill,,,1990,129,uk.org.publicwhip/member/3141,,Mr. O'Brien,,Bill O'Brien,Labour,Normanton,1929,male,BillO'Brien,19900320a1074_1,1246,1102
32,"  the only significant independent research into the management of private detention centres. Its conclusions are very interesting because they reveal obsessive secrecy, poor staff in-service training, racist stereotyping by staff and no tangible commitment ",to ,justice. ,It ,is ,the ,state which rightly reserves unto itself the right to take a person's liberty and the state should take responsibility for all that flows from that. It is directly responsible for the care of prisoners ,c,new,fact,canonical,NP,19920706a138_2,Bill O'Brien,Labour,Normanton,419,6/7/1992,23:30:00,138,Speech,Prisons,,,1992,130,uk.org.publicwhip/member/3143,,Mr. Mike O'Brien,,Bill O'Brien,Labour,Normanton,1929,male,BillO'Brien,19920706a138_2,1071,977
37," I will give way in a moment, but not ",just ,now. ,It ,is ,in ,"this context that we need to look at the situation of owners of BISF houses like those on the Bilborough estate. These houses are now over 40 years old. In common with other, traditional, houses built ",c,part.giv,nonfact,canonical,adv,19900320a1096_1,Christopher Chope,Conservative,"Southampton, Itchen",242,20-03-90,22:04:00,1096,Speech,BISF Houses (Nottingham),,,1990,2425,uk.org.publicwhip/member/2525,,Mr. Chope,,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19900320a1096_1,721,643
38,"  could be carried out in a relatively straightforward and cost-effective manner. On the basis of their findings, we saw then, and see now, absolutely no reason to designate under the housing defects legislation. I ",fear ,that ,it ,is ,the ,"report from the building research establishment which the hon. Member for Nottingham, North and some of his constituents are still not prepared to accept, yet it is the report of experts on this issue. I ",c,new,nonfact,canonical,NP,19900320a1096_1,Christopher Chope,Conservative,"Southampton, Itchen",242,20-03-90,22:04:00,1096,Speech,BISF Houses (Nottingham),,,1990,2425,uk.org.publicwhip/member/2525,,Mr. Chope,,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19900320a1096_1,721,643
39,"  is the report of experts on this issue. I hope that in due course it will be accepted, even perhaps by the hon. Gentleman. By the end of 1988, it seemed clear that market confidence was ","returning, ",and ,it ,was ,therefore ,"with some surprise that my hon. Friend the Member for Rossendale and Darwen learned from the hon. Member for Nottingham, North that there were apparently still difficulties with mortgageability on the Bilborough estate. He undertook ",c,part.giv,fact,performative,adv,19900320a1096_1,Christopher Chope,Conservative,"Southampton, Itchen",242,20-03-90,22:04:00,1096,Speech,BISF Houses (Nottingham),,,1990,2425,uk.org.publicwhip/member/2525,,Mr. Chope,,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19900320a1096_1,721,643
40,  rating. My hon. Friend referred particularly to the problem of high-spending local authorities. He said that in his area of Northamptonshire community charges this year represented the equivalent of a 30 per cent. increase in ,the ,rates. ,It ,is ,the ,"level of the community charge which causes most concern, but some community charges are high because local authorities have massively increased their spending this year. There has been a 20 per cent. increase in net revenue ",c,act.giv,nonfact,IP,NP,19900522a222_1,Christopher Chope,Conservative,"Southampton, Itchen",242,22-05-90,18:50:00,222,Speech,Opposition Day,Local Government Finance,,1990,2425,uk.org.publicwhip/member/2525,,Mr. Chope,,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19900522a222_1,777,699
45,"  we heard the hon. Member for Bradford, West (Mr. Madden) complaining that Bradford had been designated, and my hon. Friend the Member for Hornsey and Wood Green (Sir H. Rossi) complaining that Haringey had not ",been ,designated. ,It ,is ,against ,that background that I have been fortunate in receiving so much in the way of commiseration from hon. Members on both sides. The starting point is the numbers and the progress that has been made ,c,act.giv,fact,canonical,adv,19900710a257_0,Christopher Chope,Conservative,"Southampton, Itchen",242,10/7/1990,21:46:00,257,Speech,Gipsy Sites,,,1990,2425,uk.org.publicwhip/member/2525,,The Parliamentary Under-Secretary of State for the Environment (Mr. Christopher Chope),,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19900710a257_0,873,795
75,"  traffic that has been generated within that urban locality and wishes either to leave the city centre for the motorway network, or to come back in, or to travel from one point to another within ",the ,city. ,It ,is ,in ,"that context that the link road, and, within Leicester, the distributor road that was to go right around the inner ring of Leicester, were conceived many years ago. The road has largely been built, although ",c,new,fact,IP,adv,19910611a886_0,Christopher Chope,Conservative,"Southampton, Itchen",242,11/6/1991,22:46:00,886,Speech,Trunk Roads (Leicestershire),,,1991,2425,uk.org.publicwhip/member/2525,,Mr. Chope,,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19910611a886_0,421,377
76, I doubt whether there is any dispute about the state of ,the ,law. ,It ,is ,not ,ignorance of the law that is causing a number of cyclists to behave in an anti-social and dangerous manner. Enforcement of the law must be a matter for the police.,c,new,fact,IP,NP,19910701a6_0,Christopher Chope,Conservative,"Southampton, Itchen",242,1/7/1991,,6,Speech,Oral Answers to Questions — TRANSPORT,Pedestrian Accidents,,1991,2425,uk.org.publicwhip/member/2525,,Mr. Chope,,Christopher Chope,Conservative,"Southampton, Itchen",1947,male,ChristopherChope,19910701a6_0,49,46
81, ,,,It ,is ,with ,"considerable diffidence that I respond to an Adjournment debate initiated by my hon. Friend the Member for Harborough (Sir John Farr), who has served his area of Leicestershire for more than 20 years with such distinction. ",c,new,fact,performative,adv,19911119a248_2,Christopher Chope,Conservative,,,,,,,,,,,,,,,,,,,1947,male,ChristopherChope,19911119a248_2,1340,1224
97, Order. I hope that I can help the hon. Lady. That point is ,perfectly ,acceptable. ,It ,is ,the ,personalisation of the matter that is not acceptable.,c,act.giv,nonfact,canonical,NP,19920508a340_2,Michael Morris,Conservative,Northampton South,1251,8/5/1992,13:46:00,340,Speech,Foreign Affairs,,,1992,9530,uk.org.publicwhip/member/30515,,Mr. Deputy Speaker,,Michael Morris,Conservative,Northampton South,1936,male,MichaelMorris,19920508a340_2,31,26
98,"  fortunes of that industry. I have spent the past 18 years in education. I have worked in the constituency of my hon. Friend the Member for Coventry, South-East (Mr. Cunningham), who has just made his ",maiden ,speech. ,It ,is ,on ,"the subject of education that I wish to address a few remarks to the House. I have in my constituency two comprehensive schools and many more primary schools, which offer a good standard of education ",c,new,fact,IP,adv,19920512a562_0,Michael Morris,Conservative,Northampton South,1251,12/5/1992,20:04:00,562,Speech,"Environment, Local Government and Education",,,1992,9130,uk.org.publicwhip/member/3117,,Ms. Estelle Morris,,Michael Morris,Conservative,Northampton South,1936,male,MichaelMorris,19920512a562_0,1102,1023
100, Order. I shall take one point of order at a time. I ,think ,that ,it ,was ,about ,"45 minutes ago that the hon. Lady rose on a point of order. Since that point was raised, I have received no communication from anybody.",c,part.giv,nonfact,canonical,adv,19921217a579_2,Michael Morris,Conservative,Northampton South,1251,17-12-92,11:43:00,579,Speech,PRAYERS,Terrorism (Media Coverage),,1992,9530,uk.org.publicwhip/member/30515,,Mr. Deputy Speaker (Mr. Michael Morris),,Michael Morris,Conservative,Northampton South,1936,male,MichaelMorris,19921217a579_2,48,42
104,"  that have already exercised the minds of my hon. Friend the Member for Edinburgh, Central (Mr. Darling) and the hon. Member for Thanet, South. However, the underlying theme is that of the constitution and parliamentary ","procedure, ",and ,it ,is ,to ,"the latter that I wish to direct the attention of the House. While I agree with the hon. Member for Thanet, South in his reference to the relationship between the Government and the Select Committee — ",c,new,fact,IP,adv,19900208a1114_0,Nigel Spearing,Labour,Newham South,945,8/2/1990,22:11:00,1114,Speech,European Community (Right of Residence),,,1990,2716,uk.org.publicwhip/member/20847,,Mr. Nigel Spearing,,Nigel Spearing,Labour,Newham South,1930,male,NigelSpearing,19900208a1114_0,3014,2746
115,"  position of superiority. We are told that if we are good boys we can engage in discussion late at night, but the European Parliament may take the view that ultimately the Commission and the Council ",must ,decide. ,It ,is ,through ,Ministers alone that we have the last remaining channel of accountability to the Council of Ministers — hence the importance of both the House and the Council. The treaty of Rome is a unique constitution. Although ,c,part.giv,fact,canonical,adv,19900615a607_0,Nigel Spearing,Labour,Newham South,945,15-06-90,10:34:00,607,Speech,PRAYERS,EEC (Economic and Political Developments),,1990,2716,uk.org.publicwhip/member/20847,,Mr. Nigel Spearing,,Nigel Spearing,Labour,Newham South,1930,male,NigelSpearing,19900615a607_0,4035,3637
149,"  of the Bill's introduction and purpose, about which some of us have reservations, I do not think that anybody would wish it to be delayed. Therefore, those undertakings could contribute to the speed of ",its ,passage. ,It ,is ,in ,that spirit that I commend my thoughts to the promoter and to the Government.,c,new,fact,performative,adv,19910624a768_1,Nigel Spearing,Labour,Newham South,945,24-06-91,21:30,768,Speech,London Underground Bill,POWER TO MAKE WORKS,,1991,2716,uk.org.publicwhip/member/20847,,Mr. Spearing,,Nigel Spearing,Labour,Newham South,1930,male,NigelSpearing,19910624a768_1,2063,1857
154,"  than be increased to two thirds of it. It also notes that 80 per cent. of occupational pensions offer the remaining spouse only half the original pension. However, as the hon. Member for Horsham (Sir P. ",Hordern) ,"said, ",it ,is ,not ,"a sum of money that is being referred to, but two thirds, five eighths or a half of the Member's pension. That pension, particularly for older Members, might be rather less than it otherwise ",c,act.giv,fact,canonical,stranded_NP,19910718a622_1,Nigel Spearing,Labour,Newham South,945,18-07-91,22:45:00,622,Speech,Clause 46,Parliamentary Pensions,,1991,2716,uk.org.publicwhip/member/20847,,Mr. Spearing,,Nigel Spearing,Labour,Newham South,1930,male,NigelSpearing,19910718a622_1,392,354
160," Does the Minister remember the Adjournment debate on 7 June last year, when I pointed out that at the key junction of Stratford, at this ",very ,"line, ",it ,is ,not ,"just Great Eastern that will be responsible for the trains? There will also be the north-west region of Network SouthEast, Regional Railways, InterCity, Train Load Freight, Freightliner, International Ferry and Freight, the docklands light ",c,new,nonfact,IP,NP,19920210a645_1,Nigel Spearing,Labour,Newham South,945,10/2/1992,,645,Speech,Oral Answers to Questions — TRANSPORT,Liverpool Street-Chelmsford Rail Service,,1992,2716,uk.org.publicwhip/member/20847,,Mr. Spearing,,Nigel Spearing,Labour,Newham South,1930,male,NigelSpearing,19920210a645_1,152,135
