MP	Filename	All_tokens	Word_tokens
AlexSalmond	19900111a1078_0.txt	96	89
AlexSalmond	19900111a1092_3.txt	113	104
AlexSalmond	19900116a153_5.txt	105	96
AlexSalmond	19900118a430_0.txt	86	79
AlexSalmond	19900206a787_5.txt	2	2
AlexSalmond	19900206a788_0.txt	111	101
AlexSalmond	19900208a1014_4.txt	99	92
AlexSalmond	19900208a1038_0.txt	94	86
AlexSalmond	19900208a1059_0.txt	1864	1706
AlexSalmond	19900215a396_2.txt	133	123
AlexSalmond	19900220a802_1.txt	8	7
AlexSalmond	19900220a803_2.txt	150	139
AlexSalmond	19900220a804_0.txt	9	8
AlexSalmond	19900228a262_0.txt	94	90
AlexSalmond	19900228a278_3.txt	86	77
AlexSalmond	19900228a286_2.txt	86	80
AlexSalmond	19900228a287_3.txt	3	3
AlexSalmond	19900228a287_5.txt	3	3
AlexSalmond	19900228a287_7.txt	9	7
AlexSalmond	19900228a287_9.txt	38	35
AlexSalmond	19900301a392_2.txt	98	92
AlexSalmond	19900306a730_8.txt	85	79
AlexSalmond	19900314a497_0.txt	95	89
AlexSalmond	19900314a497_2.txt	3	2
AlexSalmond	19900314a531_2.txt	426	385
AlexSalmond	19900314a532_1.txt	256	240
AlexSalmond	19900315a680_1.txt	114	105
AlexSalmond	19900320a1010_3.txt	17	16
AlexSalmond	19900320a1010_5.txt	110	106
AlexSalmond	19900322a1221_2.txt	51	48
AlexSalmond	19900322a1250_3.txt	156	147
AlexSalmond	19900326a2_1.txt	110	105
AlexSalmond	19900327a239_1.txt	95	92
AlexSalmond	19900328a509_0.txt	49	42
AlexSalmond	19900328a527_1.txt	41	39
AlexSalmond	19900328a533_2.txt	76	70
AlexSalmond	19900328a534_0.txt	198	171
AlexSalmond	19900328a534_2.txt	626	580
AlexSalmond	19900329a680_3.txt	237	219
AlexSalmond	19900404a1205_2.txt	100	93
AlexSalmond	19900419a1538_3.txt	103	95
AlexSalmond	19900419a1559_9.txt	94	85
AlexSalmond	19900419a1560_1.txt	33	32
AlexSalmond	19900425a413_2.txt	75	69
AlexSalmond	19900426a495_4.txt	93	89
AlexSalmond	19900501a937_1.txt	82	76
AlexSalmond	19900502a1021_3.txt	26	25
AlexSalmond	19900502a1021_6.txt	100	96
AlexSalmond	19900510a403_0.txt	112	107
AlexSalmond	19900515a741_1.txt	66	57
AlexSalmond	19900515a741_3.txt	481	443
AlexSalmond	19900515a742_1.txt	115	109
AlexSalmond	19900516a895_5.txt	83	77
AlexSalmond	19900517a1023_4.txt	87	83
AlexSalmond	19900523a395_0.txt	8	6
AlexSalmond	19900606a626_6.txt	23	22
AlexSalmond	19900606a626_9.txt	109	103
AlexSalmond	19900606a627_1.txt	2	1
AlexSalmond	19900620a909_4.txt	30	29
AlexSalmond	19900620a910_1.txt	145	137
AlexSalmond	19900705a1132_2.txt	117	111
AlexSalmond	19900711a298_9.txt	25	24
AlexSalmond	19900711a299_2.txt	62	60
AlexSalmond	19900712a461_7.txt	116	107
AlexSalmond	19900719a1199_2.txt	139	130
AlexSalmond	19900723a2_5.txt	68	65
AlexSalmond	19900723a2_7.txt	9	9
AlexSalmond	19900723a2_9.txt	33	30
AlexSalmond	19900725a493_1.txt	144	132
AlexSalmond	19900725a494_0.txt	34	30
AlexSalmond	19901018a1372_4.txt	38	35
AlexSalmond	19901018a1372_6.txt	97	92
AlexSalmond	19901022a4_1.txt	46	44
AlexSalmond	19901022a4_3.txt	102	98
AlexSalmond	19901023a249_0.txt	1609	1481
AlexSalmond	19901108a115_2.txt	153	146
AlexSalmond	19901108a129_5.txt	144	134
AlexSalmond	19901108a142_1.txt	70	66
AlexSalmond	19901112a314_1.txt	110	101
AlexSalmond	19901112a340_2.txt	217	205
AlexSalmond	19901114a570_8.txt	33	32
AlexSalmond	19901114a571_4.txt	50	47
AlexSalmond	19901115a756_0.txt	128	118
AlexSalmond	19901115a758_0.txt	3	3
AlexSalmond	19901115a759_0.txt	126	114
AlexSalmond	19901115a760_2.txt	5	4
